"filename","corpus","utterance"
"US/Brown/Adam/adam01.xml","brown","how many feet does Mr"
"US/Brown/Adam/adam01.xml","brown","Cromer have"
"US/Brown/Adam/adam01.xml","brown","what"
"US/Brown/Adam/adam01.xml","brown","Catherine stay tonight"
"US/Brown/Adam/adam01.xml","brown","no Mommy is going to stay tonight"
"US/Brown/Adam/adam01.xml","brown","yes Adam will stay tonight too"
"US/Brown/Adam/adam01.xml","brown","who"
"US/Brown/Adam/adam01.xml","brown","Howe"
"US/Brown/Adam/adam01.xml","brown","no Howe won't stay tonight"
"US/Brown/Adam/adam01.xml","brown","no there's no fire back there"
"US/Brown/Adam/adam01.xml","brown","you drawing a kitty"
"US/Brown/Adam/adam01.xml","brown","Mommy"
"US/Brown/Adam/adam01.xml","brown","Adam right there"
"US/Brown/Adam/adam01.xml","brown","what does Daddy say"
"US/Brown/Adam/adam01.xml","brown","circle"
"US/Brown/Adam/adam01.xml","brown","write circle"
"US/Brown/Adam/adam01.xml","brown","bumble bee"
"US/Brown/Adam/adam01.xml","brown","where is he"
"US/Brown/Adam/adam01.xml","brown","why don't you write that"
"US/Brown/Adam/adam01.xml","brown","thank"
"US/Brown/Adam/adam01.xml","brown","is that the bumble bee"
"US/Brown/Adam/adam01.xml","brown","do you want to read a book"
"US/Brown/Adam/adam01.xml","brown","who is this"
"US/Brown/Adam/adam01.xml","brown","Donald_Duck go"
"US/Brown/Adam/adam01.xml","brown","I don't know"
"US/Brown/Adam/adam01.xml","brown","did you look in your basket"
"US/Brown/Adam/adam01.xml","brown","part"
"US/Brown/Adam/adam01.xml","brown","oh his head"
"US/Brown/Adam/adam01.xml","brown","oh that's been lost a long time"
"US/Brown/Adam/adam01.xml","brown","can you go with your bike"
"US/Brown/Adam/adam01.xml","brown","look a trailer"
"US/Brown/Adam/adam01.xml","brown","what are you going to pull"
"US/Brown/Adam/adam01.xml","brown","pull Adam's bike"
"US/Brown/Adam/adam01.xml","brown","no don't take his head off"
"US/Brown/Adam/adam01.xml","brown","leave him on there so he can drive it"
"US/Brown/Adam/adam01.xml","brown","yes his head is off"
"US/Brown/Adam/adam01.xml","brown","do you have a comb"
"US/Brown/Adam/adam01.xml","brown","goat"
"US/Brown/Adam/adam01.xml","brown","is that a piggie"
"US/Brown/Adam/adam01.xml","brown","I can't see"
"US/Brown/Adam/adam01.xml","brown","no I can't see"
"US/Brown/Adam/adam01.xml","brown","Bozo"
"US/Brown/Adam/adam01.xml","brown","what"
"US/Brown/Adam/adam01.xml","brown","where's a ladder"
"US/Brown/Adam/adam01.xml","brown","circus"
"US/Brown/Adam/adam01.xml","brown","circus what"
"US/Brown/Adam/adam01.xml","brown","acrobat"
"US/Brown/Adam/adam01.xml","brown","that's the tattooed man"
"US/Brown/Adam/adam01.xml","brown","tattooed man"
"US/Brown/Adam/adam01.xml","brown","tattooed man"
"US/Brown/Adam/adam01.xml","brown","may I sit beside you"
"US/Brown/Adam/adam01.xml","brown","Judy and Buzz"
"US/Brown/Adam/adam01.xml","brown","that's a couple we know"
"US/Brown/Adam/adam01.xml","brown","apple mouth"
"US/Brown/Adam/adam01.xml","brown","you had an apple when you got up from your nap"
"US/Brown/Adam/adam01.xml","brown","what's that"
"US/Brown/Adam/adam01.xml","brown","Adam want to close the box"
"US/Brown/Adam/adam01.xml","brown","do you want paper"
"US/Brown/Adam/adam01.xml","brown","whose brief case is that"
"US/Brown/Adam/adam01.xml","brown","is that part of the game"
"US/Brown/Adam/adam01.xml","brown","what is that"
"US/Brown/Adam/adam01.xml","brown","oh pin game"
"US/Brown/Adam/adam01.xml","brown","John who"
"US/Brown/Adam/adam01.xml","brown","let's see"
"US/Brown/Adam/adam01.xml","brown","John Buzzhart"
"US/Brown/Adam/adam01.xml","brown","Adam you don't tell him what to write"
"US/Brown/Adam/adam01.xml","brown","what's your Daddy's name"
"US/Brown/Adam/adam01.xml","brown","Daddy's all gone"
"US/Brown/Adam/adam01.xml","brown","what's his name"
"US/Brown/Adam/adam01.xml","brown","John Buzzhart"
"US/Brown/Adam/adam01.xml","brown","sock"
"US/Brown/Adam/adam01.xml","brown","don't sit on that"
"US/Brown/Adam/adam01.xml","brown","here's your shoe"
"US/Brown/Adam/adam01.xml","brown","no Mommy what"
"US/Brown/Adam/adam01.xml","brown","no John Buzzhart"
"US/Brown/Adam/adam01.xml","brown","what kind of game"
"US/Brown/Adam/adam01.xml","brown","Babar"
"US/Brown/Adam/adam01.xml","brown","which one"
"US/Brown/Adam/adam01.xml","brown","oh shave a pig"
"US/Brown/Adam/adam01.xml","brown","that one"
"US/Brown/Adam/adam01.xml","brown","Bozo"
"US/Brown/Adam/adam01.xml","brown","you haven't seen Bozo in a long time have you"
"US/Brown/Adam/adam01.xml","brown","are you sitting with me"
"US/Brown/Adam/adam01.xml","brown","oh you found bunny"
"US/Brown/Adam/adam01.xml","brown","that's David's Bunny_Rabbit"
"US/Brown/Adam/adam01.xml","brown","yes I remember David"
"US/Brown/Adam/adam01.xml","brown","do you remember David"
"US/Brown/Adam/adam01.xml","brown","no not her shoe"
"US/Brown/Adam/adam01.xml","brown","write on the paper"
"US/Brown/Adam/adam01.xml","brown","what"
"US/Brown/Adam/adam01.xml","brown","write on his shoe"
"US/Brown/Adam/adam01.xml","brown","no you can't write on Mr Cromer's show"
"US/Brown/Adam/adam01.xml","brown","no"
"US/Brown/Adam/adam01.xml","brown","what is that"
"US/Brown/Adam/adam01.xml","brown","whenever there's a hill to climb"
"US/Brown/Adam/adam01.xml","brown","he sticks to me like"
"US/Brown/Adam/adam01.xml","brown","and scares away"
"US/Brown/Adam/adam01.xml","brown","down the"
"US/Brown/Adam/adam01.xml","brown","with a shower"
"US/Brown/Adam/adam01.xml","brown","yes that does look like rain falling"
"US/Brown/Adam/adam01.xml","brown","now I'm a copy cat just like"
"US/Brown/Adam/adam01.xml","brown","just like you"
"US/Brown/Adam/adam01.xml","brown","yes"
"US/Brown/Adam/adam01.xml","brown","build a castle out of"
"US/Brown/Adam/adam01.xml","brown","with his"
"US/Brown/Adam/adam01.xml","brown","like bubble gum and cowboy"
"US/Brown/Adam/adam01.xml","brown","rings"
"US/Brown/Adam/adam01.xml","brown","like Adam's horsie"
"US/Brown/Adam/adam01.xml","brown","yes there's a horse there"
"US/Brown/Adam/adam01.xml","brown","on his shirt yeah"
"US/Brown/Adam/adam01.xml","brown","if I bring out my"
"US/Brown/Adam/adam01.xml","brown","what's that"
"US/Brown/Adam/adam01.xml","brown","while I catch a"
"US/Brown/Adam/adam01.xml","brown","what happened"
"US/Brown/Adam/adam01.xml","brown","he can't copy me"
"US/Brown/Adam/adam01.xml","brown","to a sycamore"
"US/Brown/Adam/adam01.xml","brown","and say"
"US/Brown/Adam/adam01.xml","brown","I don't care"
"US/Brown/Adam/adam01.xml","brown","oh you're going to give the kitty a ride in your wagon"
"US/Brown/Adam/adam01.xml","brown","do you have a bite"
"US/Brown/Adam/adam01.xml","brown","can you tell Mr Cromer about Humpty_Dumpty"
"US/Brown/Adam/adam01.xml","brown","oh he wants to shake hands"
